"region","technology","year"
"Africa_Northern","PV_storage",2045
"Africa_Northern","PV_storage",2050
"Africa_Northern","PV_storage",2055
"Africa_Northern","PV_storage",2060
"Africa_Northern","PV_storage",2065
"Africa_Northern","PV_storage",2070
"Africa_Northern","PV_storage",2075
"Africa_Northern","PV_storage",2080
"Africa_Northern","PV_storage",2085
"Africa_Northern","PV_storage",2090
"Africa_Northern","PV_storage",2095
"Africa_Northern","PV_storage",2100
"Africa_Northern","biomass (IGCC CCS)",1975
"Africa_Northern","biomass (IGCC CCS)",1990
"Africa_Northern","biomass (IGCC CCS)",2005
"Africa_Northern","biomass (IGCC CCS)",2010
"Africa_Northern","biomass (IGCC CCS)",2015
"Africa_Northern","biomass (IGCC CCS)",2020
"Africa_Northern","biomass (IGCC CCS)",2025
"Africa_Northern","biomass (IGCC CCS)",2030
"Africa_Northern","biomass (IGCC CCS)",2035
"Africa_Northern","biomass (IGCC CCS)",2040
"Africa_Northern","biomass (IGCC CCS)",2045
"Africa_Northern","biomass (IGCC CCS)",2050
"Africa_Northern","biomass (IGCC CCS)",2055
"Africa_Northern","biomass (IGCC CCS)",2060
"Africa_Northern","biomass (IGCC CCS)",2065
"Africa_Northern","biomass (IGCC CCS)",2070
"Africa_Northern","biomass (IGCC CCS)",2075
"Africa_Northern","biomass (IGCC CCS)",2080
"Africa_Northern","biomass (IGCC CCS)",2085
"Africa_Northern","biomass (IGCC CCS)",2090
"Africa_Northern","biomass (IGCC CCS)",2095
"Africa_Northern","biomass (IGCC CCS)",2100
"Africa_Northern","biomass (IGCC)",1975
"Africa_Northern","biomass (IGCC)",1990
"Africa_Northern","biomass (IGCC)",2005
"Africa_Northern","biomass (IGCC)",2010
"Africa_Northern","biomass (IGCC)",2015
"Africa_Northern","biomass (IGCC)",2020
"Africa_Northern","biomass (IGCC)",2025
"Africa_Northern","biomass (IGCC)",2030
"Africa_Northern","biomass (IGCC)",2035
"Africa_Northern","biomass (IGCC)",2040
"Africa_Northern","biomass (IGCC)",2045
"Africa_Northern","biomass (IGCC)",2050
"Africa_Northern","biomass (IGCC)",2055
"Africa_Northern","biomass (IGCC)",2060
"Africa_Northern","biomass (IGCC)",2065
"Africa_Northern","biomass (IGCC)",2070
"Africa_Northern","biomass (IGCC)",2075
"Africa_Northern","biomass (IGCC)",2080
"Africa_Northern","biomass (IGCC)",2085
"Africa_Northern","biomass (IGCC)",2090
"Africa_Northern","biomass (IGCC)",2095
"Africa_Northern","biomass (IGCC)",2100
"Africa_Northern","biomass (conv CCS)",1975
"Africa_Northern","biomass (conv CCS)",1990
"Africa_Northern","biomass (conv CCS)",2005
"Africa_Northern","biomass (conv CCS)",2010
"Africa_Northern","biomass (conv CCS)",2015
"Africa_Northern","biomass (conv CCS)",2020
"Africa_Northern","biomass (conv CCS)",2025
"Africa_Northern","biomass (conv CCS)",2030
"Africa_Northern","biomass (conv CCS)",2035
"Africa_Northern","biomass (conv CCS)",2040
"Africa_Northern","biomass (conv CCS)",2045
"Africa_Northern","biomass (conv CCS)",2050
"Africa_Northern","biomass (conv CCS)",2055
"Africa_Northern","biomass (conv CCS)",2060
"Africa_Northern","biomass (conv CCS)",2065
"Africa_Northern","biomass (conv CCS)",2070
"Africa_Northern","biomass (conv CCS)",2075
"Africa_Northern","biomass (conv CCS)",2080
"Africa_Northern","biomass (conv CCS)",2085
"Africa_Northern","biomass (conv CCS)",2090
"Africa_Northern","biomass (conv CCS)",2095
"Africa_Northern","biomass (conv CCS)",2100
"Africa_Northern","biomass (conv)",1975
"Africa_Northern","biomass (conv)",1990
"Africa_Northern","biomass (conv)",2005
"Africa_Northern","biomass (conv)",2010
"Africa_Northern","biomass (conv)",2015
"Africa_Northern","biomass (conv)",2020
"Africa_Northern","biomass (conv)",2025
"Africa_Northern","biomass (conv)",2030
"Africa_Northern","biomass (conv)",2035
"Africa_Northern","biomass (conv)",2040
"Africa_Northern","biomass (conv)",2045
"Africa_Northern","biomass (conv)",2050
"Africa_Northern","biomass (conv)",2055
"Africa_Northern","biomass (conv)",2060
"Africa_Northern","biomass (conv)",2065
"Africa_Northern","biomass (conv)",2070
"Africa_Northern","biomass (conv)",2075
"Africa_Northern","biomass (conv)",2080
"Africa_Northern","biomass (conv)",2085
"Africa_Northern","biomass (conv)",2090
"Africa_Northern","biomass (conv)",2095
"Africa_Northern","biomass (conv)",2100
"Africa_Northern","coal (IGCC CCS)",1975
"Africa_Northern","coal (IGCC CCS)",1990
"Africa_Northern","coal (IGCC CCS)",2005
"Africa_Northern","coal (IGCC CCS)",2010
"Africa_Northern","coal (IGCC CCS)",2015
"Africa_Northern","coal (IGCC CCS)",2020
"Africa_Northern","coal (IGCC CCS)",2025
"Africa_Northern","coal (IGCC CCS)",2030
"Africa_Northern","coal (IGCC CCS)",2035
"Africa_Northern","coal (IGCC CCS)",2040
"Africa_Northern","coal (IGCC CCS)",2045
"Africa_Northern","coal (IGCC CCS)",2050
"Africa_Northern","coal (IGCC CCS)",2055
"Africa_Northern","coal (IGCC CCS)",2060
"Africa_Northern","coal (IGCC CCS)",2065
"Africa_Northern","coal (IGCC CCS)",2070
"Africa_Northern","coal (IGCC CCS)",2075
"Africa_Northern","coal (IGCC CCS)",2080
"Africa_Northern","coal (IGCC CCS)",2085
"Africa_Northern","coal (IGCC CCS)",2090
"Africa_Northern","coal (IGCC CCS)",2095
"Africa_Northern","coal (IGCC CCS)",2100
"Africa_Northern","coal (IGCC)",1975
"Africa_Northern","coal (IGCC)",1990
"Africa_Northern","coal (IGCC)",2005
"Africa_Northern","coal (IGCC)",2010
"Africa_Northern","coal (IGCC)",2015
"Africa_Northern","coal (IGCC)",2020
"Africa_Northern","coal (IGCC)",2025
"Africa_Northern","coal (IGCC)",2030
"Africa_Northern","coal (IGCC)",2035
"Africa_Northern","coal (IGCC)",2040
"Africa_Northern","coal (IGCC)",2045
"Africa_Northern","coal (IGCC)",2050
"Africa_Northern","coal (IGCC)",2055
"Africa_Northern","coal (IGCC)",2060
"Africa_Northern","coal (IGCC)",2065
"Africa_Northern","coal (IGCC)",2070
"Africa_Northern","coal (IGCC)",2075
"Africa_Northern","coal (IGCC)",2080
"Africa_Northern","coal (IGCC)",2085
"Africa_Northern","coal (IGCC)",2090
"Africa_Northern","coal (IGCC)",2095
"Africa_Northern","coal (IGCC)",2100
"Africa_Northern","coal (conv pul CCS)",1975
"Africa_Northern","coal (conv pul CCS)",1990
"Africa_Northern","coal (conv pul CCS)",2005
"Africa_Northern","coal (conv pul CCS)",2010
"Africa_Northern","coal (conv pul CCS)",2015
"Africa_Northern","coal (conv pul CCS)",2020
"Africa_Northern","coal (conv pul CCS)",2025
"Africa_Northern","coal (conv pul CCS)",2030
"Africa_Northern","coal (conv pul CCS)",2035
"Africa_Northern","coal (conv pul CCS)",2040
"Africa_Northern","coal (conv pul CCS)",2045
"Africa_Northern","coal (conv pul CCS)",2050
"Africa_Northern","coal (conv pul CCS)",2055
"Africa_Northern","coal (conv pul CCS)",2060
"Africa_Northern","coal (conv pul CCS)",2065
"Africa_Northern","coal (conv pul CCS)",2070
"Africa_Northern","coal (conv pul CCS)",2075
"Africa_Northern","coal (conv pul CCS)",2080
"Africa_Northern","coal (conv pul CCS)",2085
"Africa_Northern","coal (conv pul CCS)",2090
"Africa_Northern","coal (conv pul CCS)",2095
"Africa_Northern","coal (conv pul CCS)",2100
"Africa_Northern","coal (conv pul)",1975
"Africa_Northern","coal (conv pul)",1990
"Africa_Northern","coal (conv pul)",2005
"Africa_Northern","coal (conv pul)",2010
"Africa_Northern","coal (conv pul)",2015
"Africa_Northern","coal (conv pul)",2020
"Africa_Northern","coal (conv pul)",2025
"Africa_Northern","coal (conv pul)",2030
"Africa_Northern","coal (conv pul)",2035
"Africa_Northern","coal (conv pul)",2040
"Africa_Northern","coal (conv pul)",2045
"Africa_Northern","coal (conv pul)",2050
"Africa_Northern","coal (conv pul)",2055
"Africa_Northern","coal (conv pul)",2060
"Africa_Northern","coal (conv pul)",2065
"Africa_Northern","coal (conv pul)",2070
"Africa_Northern","coal (conv pul)",2075
"Africa_Northern","coal (conv pul)",2080
"Africa_Northern","coal (conv pul)",2085
"Africa_Northern","coal (conv pul)",2090
"Africa_Northern","coal (conv pul)",2095
"Africa_Northern","coal (conv pul)",2100
"Africa_Northern","gas (CC CCS)",1975
"Africa_Northern","gas (CC CCS)",1990
"Africa_Northern","gas (CC CCS)",2005
"Africa_Northern","gas (CC CCS)",2010
"Africa_Northern","gas (CC CCS)",2015
"Africa_Northern","gas (CC CCS)",2020
"Africa_Northern","gas (CC CCS)",2025
"Africa_Northern","gas (CC CCS)",2030
"Africa_Northern","gas (CC CCS)",2035
"Africa_Northern","gas (CC CCS)",2040
"Africa_Northern","gas (CC CCS)",2045
"Africa_Northern","gas (CC CCS)",2050
"Africa_Northern","gas (CC CCS)",2055
"Africa_Northern","gas (CC CCS)",2060
"Africa_Northern","gas (CC CCS)",2065
"Africa_Northern","gas (CC CCS)",2070
"Africa_Northern","gas (CC CCS)",2075
"Africa_Northern","gas (CC CCS)",2080
"Africa_Northern","gas (CC CCS)",2085
"Africa_Northern","gas (CC CCS)",2090
"Africa_Northern","gas (CC CCS)",2095
"Africa_Northern","gas (CC CCS)",2100
"Africa_Northern","gas (CC)",1975
"Africa_Northern","gas (CC)",1990
"Africa_Northern","gas (CC)",2005
"Africa_Northern","gas (CC)",2010
"Africa_Northern","gas (CC)",2015
"Africa_Northern","gas (CC)",2020
"Africa_Northern","gas (CC)",2025
"Africa_Northern","gas (CC)",2030
"Africa_Northern","gas (CC)",2035
"Africa_Northern","gas (CC)",2040
"Africa_Northern","gas (CC)",2045
"Africa_Northern","gas (CC)",2050
"Africa_Northern","gas (CC)",2055
"Africa_Northern","gas (CC)",2060
"Africa_Northern","gas (CC)",2065
"Africa_Northern","gas (CC)",2070
"Africa_Northern","gas (CC)",2075
"Africa_Northern","gas (CC)",2080
"Africa_Northern","gas (CC)",2085
"Africa_Northern","gas (CC)",2090
"Africa_Northern","gas (CC)",2095
"Africa_Northern","gas (CC)",2100
"Africa_Northern","gas (steam/CT)",1975
"Africa_Northern","gas (steam/CT)",1990
"Africa_Northern","gas (steam/CT)",2005
"Africa_Northern","gas (steam/CT)",2010
"Africa_Northern","gas (steam/CT)",2015
"Africa_Northern","gas (steam/CT)",2020
"Africa_Northern","gas (steam/CT)",2025
"Africa_Northern","gas (steam/CT)",2030
"Africa_Northern","gas (steam/CT)",2035
"Africa_Northern","gas (steam/CT)",2040
"Africa_Northern","gas (steam/CT)",2045
"Africa_Northern","gas (steam/CT)",2050
"Africa_Northern","gas (steam/CT)",2055
"Africa_Northern","gas (steam/CT)",2060
"Africa_Northern","gas (steam/CT)",2065
"Africa_Northern","gas (steam/CT)",2070
"Africa_Northern","gas (steam/CT)",2075
"Africa_Northern","gas (steam/CT)",2080
"Africa_Northern","gas (steam/CT)",2085
"Africa_Northern","gas (steam/CT)",2090
"Africa_Northern","gas (steam/CT)",2095
"Africa_Northern","gas (steam/CT)",2100
"Africa_Northern","geothermal",1975
"Africa_Northern","geothermal",1990
"Africa_Northern","geothermal",2005
"Africa_Northern","geothermal",2010
"Africa_Northern","geothermal",2015
"Africa_Northern","geothermal",2020
"Africa_Northern","geothermal",2025
"Africa_Northern","geothermal",2030
"Africa_Northern","geothermal",2035
"Africa_Northern","geothermal",2040
"Africa_Northern","geothermal",2045
"Africa_Northern","geothermal",2050
"Africa_Northern","geothermal",2055
"Africa_Northern","geothermal",2060
"Africa_Northern","geothermal",2065
"Africa_Northern","geothermal",2070
"Africa_Northern","geothermal",2075
"Africa_Northern","geothermal",2080
"Africa_Northern","geothermal",2085
"Africa_Northern","geothermal",2090
"Africa_Northern","geothermal",2095
"Africa_Northern","geothermal",2100
"Africa_Northern","refined liquids (CC CCS)",1975
"Africa_Northern","refined liquids (CC CCS)",1990
"Africa_Northern","refined liquids (CC CCS)",2005
"Africa_Northern","refined liquids (CC CCS)",2010
"Africa_Northern","refined liquids (CC CCS)",2015
"Africa_Northern","refined liquids (CC CCS)",2020
"Africa_Northern","refined liquids (CC CCS)",2025
"Africa_Northern","refined liquids (CC CCS)",2030
"Africa_Northern","refined liquids (CC CCS)",2035
"Africa_Northern","refined liquids (CC CCS)",2040
"Africa_Northern","refined liquids (CC CCS)",2045
"Africa_Northern","refined liquids (CC CCS)",2050
"Africa_Northern","refined liquids (CC CCS)",2055
"Africa_Northern","refined liquids (CC CCS)",2060
"Africa_Northern","refined liquids (CC CCS)",2065
"Africa_Northern","refined liquids (CC CCS)",2070
"Africa_Northern","refined liquids (CC CCS)",2075
"Africa_Northern","refined liquids (CC CCS)",2080
"Africa_Northern","refined liquids (CC CCS)",2085
"Africa_Northern","refined liquids (CC CCS)",2090
"Africa_Northern","refined liquids (CC CCS)",2095
"Africa_Northern","refined liquids (CC CCS)",2100
"Africa_Northern","refined liquids (CC)",1975
"Africa_Northern","refined liquids (CC)",1990
"Africa_Northern","refined liquids (CC)",2005
"Africa_Northern","refined liquids (CC)",2010
"Africa_Northern","refined liquids (CC)",2015
"Africa_Northern","refined liquids (CC)",2020
"Africa_Northern","refined liquids (CC)",2025
"Africa_Northern","refined liquids (CC)",2030
"Africa_Northern","refined liquids (CC)",2035
"Africa_Northern","refined liquids (CC)",2040
"Africa_Northern","refined liquids (CC)",2045
"Africa_Northern","refined liquids (CC)",2050
"Africa_Northern","refined liquids (CC)",2055
"Africa_Northern","refined liquids (CC)",2060
"Africa_Northern","refined liquids (CC)",2065
"Africa_Northern","refined liquids (CC)",2070
"Africa_Northern","refined liquids (CC)",2075
"Africa_Northern","refined liquids (CC)",2080
"Africa_Northern","refined liquids (CC)",2085
"Africa_Northern","refined liquids (CC)",2090
"Africa_Northern","refined liquids (CC)",2095
"Africa_Northern","refined liquids (CC)",2100
"Africa_Northern","refined liquids (steam/CT)",1975
"Africa_Northern","refined liquids (steam/CT)",1990
"Africa_Northern","refined liquids (steam/CT)",2005
"Africa_Northern","refined liquids (steam/CT)",2010
"Africa_Northern","refined liquids (steam/CT)",2015
"Africa_Northern","refined liquids (steam/CT)",2020
"Africa_Northern","refined liquids (steam/CT)",2025
"Africa_Northern","refined liquids (steam/CT)",2030
"Africa_Northern","refined liquids (steam/CT)",2035
"Africa_Northern","refined liquids (steam/CT)",2040
"Africa_Northern","refined liquids (steam/CT)",2045
"Africa_Northern","refined liquids (steam/CT)",2050
"Africa_Northern","refined liquids (steam/CT)",2055
"Africa_Northern","refined liquids (steam/CT)",2060
"Africa_Northern","refined liquids (steam/CT)",2065
"Africa_Northern","refined liquids (steam/CT)",2070
"Africa_Northern","refined liquids (steam/CT)",2075
"Africa_Northern","refined liquids (steam/CT)",2080
"Africa_Northern","refined liquids (steam/CT)",2085
"Africa_Northern","refined liquids (steam/CT)",2090
"Africa_Northern","refined liquids (steam/CT)",2095
"Africa_Northern","refined liquids (steam/CT)",2100
"Africa_Northern","rooftop_pv",1975
"Africa_Northern","rooftop_pv",1990
"Africa_Northern","rooftop_pv",2005
"Africa_Northern","rooftop_pv",2010
"Africa_Northern","rooftop_pv",2015
"Africa_Northern","rooftop_pv",2020
"Africa_Northern","rooftop_pv",2025
"Africa_Northern","rooftop_pv",2030
"Africa_Northern","rooftop_pv",2035
"Africa_Northern","rooftop_pv",2040
"Africa_Northern","rooftop_pv",2045
"Africa_Northern","rooftop_pv",2050
"Africa_Northern","rooftop_pv",2055
"Africa_Northern","rooftop_pv",2060
"Africa_Northern","rooftop_pv",2065
"Africa_Northern","rooftop_pv",2070
"Africa_Northern","rooftop_pv",2075
"Africa_Northern","rooftop_pv",2080
"Africa_Northern","rooftop_pv",2085
"Africa_Northern","rooftop_pv",2090
"Africa_Northern","rooftop_pv",2095
"Africa_Northern","rooftop_pv",2100
"Africa_Northern","wind",1975
"Africa_Northern","wind",1990
"Africa_Northern","wind",2005
"Africa_Northern","wind",2010
"Africa_Northern","wind",2015
"Africa_Northern","wind",2020
"Africa_Northern","wind",2025
"Africa_Northern","wind",2030
"Africa_Northern","wind",2035
"Africa_Northern","wind",2040
"Africa_Northern","wind",2045
"Africa_Northern","wind",2050
"Africa_Northern","wind",2055
"Africa_Northern","wind",2060
"Africa_Northern","wind",2065
"Africa_Northern","wind",2070
"Africa_Northern","wind",2075
"Africa_Northern","wind",2080
"Africa_Northern","wind",2085
"Africa_Northern","wind",2090
"Africa_Northern","wind",2095
"Africa_Northern","wind",2100
"Africa_Northern","wind_offshore",1975
"Africa_Northern","wind_offshore",1990
"Africa_Northern","wind_offshore",2005
"Africa_Northern","wind_offshore",2010
"Africa_Northern","wind_offshore",2015
"Africa_Northern","wind_offshore",2020
"Africa_Northern","wind_offshore",2025
"Africa_Northern","wind_offshore",2030
"Africa_Northern","wind_offshore",2035
"Africa_Northern","wind_offshore",2040
"Africa_Northern","wind_offshore",2045
"Africa_Northern","wind_offshore",2050
"Africa_Northern","wind_offshore",2055
"Africa_Northern","wind_offshore",2060
"Africa_Northern","wind_offshore",2065
"Africa_Northern","wind_offshore",2070
"Africa_Northern","wind_offshore",2075
"Africa_Northern","wind_offshore",2080
"Africa_Northern","wind_offshore",2085
"Africa_Northern","wind_offshore",2090
"Africa_Northern","wind_offshore",2095
"Africa_Northern","wind_offshore",2100
"Africa_Northern","wind_storage",1975
"Africa_Northern","wind_storage",1990
"Africa_Northern","wind_storage",2005
"Africa_Northern","wind_storage",2010
"Africa_Northern","wind_storage",2015
"Africa_Northern","wind_storage",2020
"Africa_Northern","wind_storage",2025
"Africa_Northern","wind_storage",2030
"Africa_Northern","wind_storage",2035
"Africa_Northern","wind_storage",2040
"Africa_Northern","wind_storage",2045
"Africa_Northern","wind_storage",2050
"Africa_Northern","wind_storage",2055
"Africa_Northern","wind_storage",2060
"Africa_Northern","wind_storage",2065
"Africa_Northern","wind_storage",2070
"Africa_Northern","wind_storage",2075
"Africa_Northern","wind_storage",2080
"Africa_Northern","wind_storage",2085
"Africa_Northern","wind_storage",2090
"Africa_Northern","wind_storage",2095
"Africa_Northern","wind_storage",2100
"Africa_Southern","CSP",1975
"Africa_Southern","CSP",1990
"Africa_Southern","CSP",2005
"Africa_Southern","CSP",2010
"Africa_Southern","CSP",2015
"Africa_Southern","CSP",2020
"Africa_Southern","CSP",2025
"Africa_Southern","CSP",2030
"Africa_Southern","CSP",2035
"Africa_Southern","CSP",2040
"Africa_Southern","CSP",2045
"Africa_Southern","CSP",2050
"Africa_Southern","CSP",2055
"Africa_Southern","CSP",2060
"Africa_Southern","CSP",2065
"Africa_Southern","CSP",2070
"Africa_Southern","CSP",2075
"Africa_Southern","CSP",2080
"Africa_Southern","CSP",2085
"Africa_Southern","CSP",2090
"Africa_Southern","CSP",2095
"Africa_Southern","CSP",2100
"Africa_Southern","CSP_storage",1975
"Africa_Southern","CSP_storage",1990
"Africa_Southern","CSP_storage",2005
"Africa_Southern","CSP_storage",2010
"Africa_Southern","CSP_storage",2015
"Africa_Southern","CSP_storage",2020
"Africa_Southern","CSP_storage",2025
"Africa_Southern","CSP_storage",2030
"Africa_Southern","CSP_storage",2035
"Africa_Southern","CSP_storage",2040
"Africa_Southern","CSP_storage",2045
"Africa_Southern","CSP_storage",2050
"Africa_Southern","CSP_storage",2055
"Africa_Southern","CSP_storage",2060
"Africa_Southern","CSP_storage",2065
"Africa_Southern","CSP_storage",2070
"Africa_Southern","CSP_storage",2075
"Africa_Southern","CSP_storage",2080
"Africa_Southern","CSP_storage",2085
"Africa_Southern","CSP_storage",2090
"Africa_Southern","CSP_storage",2095
"Africa_Southern","CSP_storage",2100
"Africa_Southern","Gen_III",1975
"Africa_Southern","Gen_III",1990
"Africa_Southern","Gen_III",2005
"Africa_Southern","Gen_III",2010
"Africa_Southern","Gen_III",2015
"Africa_Southern","Gen_III",2020
"Africa_Southern","Gen_III",2025
"Africa_Southern","Gen_III",2030
"Africa_Southern","Gen_III",2035
"Africa_Southern","Gen_III",2040
"Africa_Southern","Gen_III",2045
"Africa_Southern","Gen_III",2050
"Africa_Southern","Gen_III",2055
"Africa_Southern","Gen_III",2060
"Africa_Southern","Gen_III",2065
"Africa_Southern","Gen_III",2070
"Africa_Southern","Gen_III",2075
"Africa_Southern","Gen_III",2080
"Africa_Southern","Gen_III",2085
"Africa_Southern","Gen_III",2090
"Africa_Southern","Gen_III",2095
"Africa_Southern","Gen_III",2100
"Africa_Southern","Gen_II_LWR",1975
"Africa_Southern","Gen_II_LWR",1990
"Africa_Southern","Gen_II_LWR",2005
"Africa_Southern","Gen_II_LWR",2010
"Africa_Southern","Gen_II_LWR",2015
"Africa_Southern","Gen_II_LWR",2020
"Africa_Southern","Gen_II_LWR",2025
"Africa_Southern","Gen_II_LWR",2030
"Africa_Southern","Gen_II_LWR",2035
"Africa_Southern","Gen_II_LWR",2040
"Africa_Southern","Gen_II_LWR",2045
"Africa_Southern","Gen_II_LWR",2050
"Africa_Southern","Gen_II_LWR",2055
"Africa_Southern","Gen_II_LWR",2060
"Africa_Southern","Gen_II_LWR",2065
"Africa_Southern","Gen_II_LWR",2070
"Africa_Southern","Gen_II_LWR",2075
"Africa_Southern","Gen_II_LWR",2080
"Africa_Southern","Gen_II_LWR",2085
